brand,model,year,miles,used_car_price,past_owners,accident_reported,exterior,interior,msrp_car_price
kia,forte,2022,41406,15988,1,0,Gray,Black,19895.0
chevrolet,silverado 1500,2021,15138,38008,1,1,White,Black,38876.218
honda,civic,2020,37190,18998,1,0,Blue,Black,22517.941
honda,civic,2020,27496,19498,1,0,Black,Black,22517.941
honda,civic,2020,29026,21000,1,1,Silver,Black,22517.941
honda,accord,2019,4148,20998,1,1,Black,Black,27886.067
honda,civic,2020,50240,19498,1,1,Black,Black,22517.941
bmw,5 series,2013,56766,17998,3,0,White,Black,58306.25
honda,civic,2020,11140,20998,1,0,Black,Black,22517.941
honda,civic,2020,8506,22597,1,0,Gray,Black,22517.941
mercedes-benz,glc,2021,38760,29998,1,0,Black,Black,40050.0
porsche,macan,2020,27002,39998,2,0,White,Black,61725.0
honda,civic,2021,22850,21998,1,0,White,Black,22517.941
buick,cascada,2016,68660,17998,2,1,White,Beige,35065.0
bmw,3 series,2014,55079,17998,2,0,White,Black,40897.059
mercedes-benz,c-class,2018,83424,18285,2,1,White,Black,49298.378
honda,odyssey,2019,61318,26998,1,0,Black,Brown,36879.0
bmw,7 series,2015,57707,27998,3,0,White,Black,90662.5
mercedes-benz,glc,2020,38981,26518,1,1,Black,Black,40050.0
honda,cr-v,2020,74031,23998,1,0,Gray,Gray,27968.438
honda,civic,2020,16112,20998,1,0,White,Beige,22517.941
honda,cr-v,2019,17123,24498,1,1,Gray,Black,27968.438
honda,civic,2016,71406,16498,2,1,Gray,Gray,22517.941
chrysler,pacifica,2018,73428,19998,2,0,White,Black,31424.412
volkswagen,tiguan,2020,28897,20998,1,1,White,Black,31650.962
bmw,3 series,2015,60478,16998,2,1,Black,Black,40897.059
honda,cr-v,2022,23215,27798,1,0,White,Black,27968.438
nissan,sentra,2021,24044,20998,1,0,Black,Black,19146.842
volkswagen,tiguan,2019,50950,20998,1,0,Gray,Black,31650.962
toyota,camry,2020,36853,23998,1,1,Gray,Black,26952.895
chevrolet,malibu,2022,32668,19998,1,0,Gray,Gray,25704.737
volkswagen,tiguan,2021,50142,17998,1,0,Gray,Black,31650.962
toyota,highlander,2021,16462,35037,1,0,White,Beige,37219.773
kia,optima,2015,86935,15998,1,0,White,Beige,27312.353
dodge,charger,2016,120296,20998,1,0,Gray,Black,38835.714
toyota,corolla,2022,33167,20222,1,0,White,Black,20221.176
honda,civic,2020,11593,20698,1,0,Red,Black,22517.941
bmw,3 series,2015,78479,15998,2,0,White,Black,40897.059
honda,odyssey,2012,122285,14998,1,0,Gray,Gray,36879.0
toyota,tacoma,2015,87121,21499,2,1,Gray,Gray,30318.438
toyota,4runner,2021,25671,40998,1,0,Gray,Black,38221.346
ford,mustang,2015,107676,14300,2,0,Orange,Black,32520.625
